semester_raw,anon_student_id,midterm,score_group,active_days,last3_share,last7_share,concentration_hhi
F21,55,mid1,Q4 highest,9,0.47200520833333337,0.6223958333333334,0.24945237901475692
F21,55,mid2,Q4 highest,12,0.28934624697336564,0.3855932203389831,0.144495775903007
F21,57,mid1,Q1 lowest,22,0.5074786324786325,0.6949786324786325,0.11123909366096868
F21,58,mid1,Q1 lowest,9,0.22257250945775536,0.26292559899117274,0.1446722504130562
F21,59,mid1,Q1 lowest,14,0.390625,0.4742943548387097,0.19968823165972946
F21,60,mid1,Q4 highest,1,1.0,1.0,1.0
F21,63,mid1,Q4 highest,8,0.11148936170212766,0.11148936170212766,0.1489347215934812
F21,64,mid1,Q1 lowest,12,0.061611374407582936,0.1056194989844279,0.12000069675901627
F21,64,mid2,Q1 lowest,7,0.0,0.15706521739130436,0.42612948960302466
F21,65,mid1,Q1 lowest,1,0.0,0.0,1.0
F21,66,mid1,Q4 highest,14,0.003150157507875394,0.003150157507875394,0.12905550772813407
F21,66,mid2,Q4 highest,9,0.21830265848670755,0.26993865030674846,0.38345596999008863
F21,67,mid1,Q4 highest,2,1.0,1.0,0.5349389445041656
F21,68,mid1,Q1 lowest,9,0.22620904836193445,0.22620904836193445,0.21195431280589758
F21,68,mid2,Q1 lowest,7,0.2754374594944913,0.2754374594944913,0.23940661503522484
F21,70,mid1,Q1 lowest,9,0.1442663378545006,0.24907521578298397,0.1292668167809755
F21,70,mid2,Q1 lowest,6,0.39073426573426573,0.39073426573426573,0.2634694850603942
F21,74,mid1,Q4 highest,14,0.3979551710578057,0.3979551710578057,0.17229333791464746
F21,74,mid2,Q4 highest,9,0.26039783001808314,0.6130198915009042,0.16333470310625986
F21,77,mid1,Q4 highest,8,0.30577223088923555,0.375195007800312,0.20825007727298173
F21,77,mid2,Q4 highest,9,0.2053475935828877,0.20962566844919786,0.2835871772141039
F21,78,mid1,Q4 highest,14,0.686541737649063,0.6936967632027257,0.19670730680937637
F21,78,mid2,Q4 highest,10,0.48757943385326397,0.6776429809358752,0.2183398462334812
F21,79,mid1,Q1 lowest,10,0.10897083104017612,0.26967528893780957,0.19827084082364047
F21,79,mid2,Q1 lowest,4,0.0,0.0,0.47873176696654723
F21,81,mid1,Q4 highest,9,0.4813953488372093,0.5459302325581395,0.23186857760951868
F21,82,mid1,Q4 highest,3,1.0,1.0,0.7232187154995552
F21,84,mid1,Q4 highest,15,0.0027114967462039045,0.016268980477223426,0.24794961439104843
F21,87,mid1,Q4 highest,16,0.30910575745202123,0.33483054307880766,0.15765753673843924
F21,88,mid2,Q4 highest,13,0.31935817805383027,0.7308488612836439,0.2146875763537929
F21,89,mid1,Q1 lowest,14,0.06912991656734208,0.15196662693682955,0.11079581373477988
F21,89,mid2,Q1 lowest,10,0.4880268199233717,0.5507662835249043,0.17021549889167809
F21,90,mid1,Q4 highest,12,0.2699243746364165,0.3647469458987783,0.1679416411925572
F21,92,mid1,Q4 highest,2,1.0,1.0,0.5961834410587874
F21,93,mid1,Q1 lowest,12,0.3575129533678757,0.42746113989637313,0.20838733925742978
F21,94,mid2,Q4 highest,9,0.7875950848449386,0.8291398478642481,0.29174600033348386
F21,95,mid1,Q4 highest,12,0.008675078864353312,0.1222397476340694,0.1481816417717362
F21,95,mid2,Q4 highest,8,0.1619644723092999,0.26436781609195403,0.2832639441654683
F21,96,mid1,Q4 highest,14,0.38589015151515155,0.5596590909090909,0.1221882353363177
F21,96,mid2,Q4 highest,9,0.5481874447391688,0.6392572944297081,0.3208751673948783
